n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
5,0.85,HDBSCAN,50,600,2,552,0.944,506.88,0.4953,0.4898,0.5,0.0037,0.0007,0.9975,0.4166,0.4156
8,0.35,AdaptiveDBSCAN,116,95,53,32,0.4026,11.16,0.9101,0.0142,0.0862,0.183,0.0982,0.9824,0.3269,0.3211
8,0.4,AdaptiveDBSCAN,128,118,55,45,0.4634,11.63,0.9756,0.0145,0.125,0.1403,0.0906,0.9749,0.3181,0.3101
6,0.45,AdaptiveDBSCAN,136,154,48,66,0.5302,11.1,1.084,0.0168,0.1029,0.1328,0.0969,0.9683,0.3165,0.3065
8,0.25,AdaptiveDBSCAN,97,54,55,12,0.2667,10.98,0.8751,0.0116,0.1031,0.1792,0.0993,0.9899,0.3095,0.3064
5,0.45,AdaptiveDBSCAN,141,139,55,53,0.5448,10.77,1.1539,0.0141,0.078,0.1472,0.0936,0.9634,0.3177,0.3061
5,0.4,AdaptiveDBSCAN,131,113,57,39,0.5022,10.55,1.1215,0.0133,0.0687,0.1479,0.106,0.9726,0.3125,0.3039
9,0.4,AdaptiveDBSCAN,154,193,49,88,0.5571,11.26,0.916,0.0164,0.0844,0.1398,0.0926,0.9468,0.3165,0.2997
9,0.3,AdaptiveDBSCAN,118,98,56,36,0.4088,11.53,0.8899,0.0142,0.1102,0.1499,0.0778,0.9813,0.3048,0.2991
9,0.35,AdaptiveDBSCAN,124,125,50,51,0.49,12.44,0.9047,0.0164,0.1048,0.1357,0.0779,0.9777,0.3051,0.2983
8,0.3,AdaptiveDBSCAN,98,60,51,13,0.3308,11.94,0.8913,0.0126,0.0816,0.1701,0.093,0.9896,0.3013,0.2982
6,0.4,AdaptiveDBSCAN,120,110,52,42,0.4544,11.06,1.0516,0.0154,0.125,0.1207,0.0933,0.9802,0.303,0.297
5,0.35,AdaptiveDBSCAN,120,99,53,32,0.4631,10.74,1.107,0.0139,0.1,0.1256,0.1048,0.9802,0.3022,0.2962
10,0.45,AdaptiveDBSCAN,182,265,47,130,0.6014,11.0,0.9122,0.0161,0.1099,0.14,0.0911,0.8849,0.3341,0.2956
5,0.5,AdaptiveDBSCAN,168,188,57,77,0.5935,10.03,1.1957,0.0134,0.0655,0.1414,0.0981,0.9213,0.3178,0.2928
5,0.2,AdaptiveDBSCAN,91,55,51,15,0.2952,10.95,1.031,0.0134,0.0769,0.1615,0.1079,0.9916,0.2932,0.2907
9,0.2,AdaptiveDBSCAN,105,78,51,24,0.2676,10.68,0.8349,0.0143,0.1048,0.1597,0.0947,0.9873,0.2938,0.2901
10,0.25,AdaptiveDBSCAN,121,100,54,33,0.3509,10.48,0.8251,0.0138,0.0826,0.1538,0.1,0.9796,0.2957,0.2897
7,0.4,AdaptiveDBSCAN,128,108,52,32,0.4477,11.2,1.0326,0.0133,0.0625,0.147,0.0956,0.9749,0.2959,0.2885
5,0.25,AdaptiveDBSCAN,102,73,50,21,0.3641,10.75,1.0604,0.0142,0.0784,0.1463,0.1017,0.9883,0.2911,0.2877
5,0.3,AdaptiveDBSCAN,110,92,49,31,0.4176,10.86,1.0541,0.0153,0.0818,0.1304,0.1026,0.9852,0.2897,0.2854
9,0.25,AdaptiveDBSCAN,110,87,55,32,0.3466,11.23,0.8428,0.0145,0.0909,0.1485,0.0866,0.9852,0.289,0.2847
10,0.3,AdaptiveDBSCAN,135,128,53,46,0.4086,10.13,0.8316,0.0142,0.0889,0.1347,0.0972,0.9692,0.2922,0.2832
10,0.35,AdaptiveDBSCAN,156,181,49,74,0.4862,10.02,0.8768,0.015,0.0962,0.1212,0.1024,0.9437,0.3,0.2831
6,0.5,AdaptiveDBSCAN,182,222,60,100,0.6236,9.98,1.1982,0.0135,0.0549,0.1363,0.1108,0.8849,0.3197,0.2829
11,0.4,AdaptiveDBSCAN,168,193,58,83,0.5227,10.5,0.8578,0.0138,0.0774,0.133,0.1017,0.9213,0.3065,0.2824
6,0.35,AdaptiveDBSCAN,119,90,60,31,0.3847,10.24,1.0684,0.0128,0.0924,0.1291,0.0991,0.9807,0.2864,0.2809
11,0.35,AdaptiveDBSCAN,157,164,61,68,0.4637,9.82,0.8472,0.0134,0.0828,0.127,0.1052,0.9421,0.2962,0.2791
9,0.45,AdaptiveDBSCAN,168,216,52,100,0.6022,11.54,0.9796,0.0154,0.0595,0.1231,0.0955,0.9213,0.3018,0.278
7,0.35,AdaptiveDBSCAN,121,95,51,25,0.38,10.5,1.0039,0.0131,0.1074,0.1211,0.0931,0.9796,0.2835,0.2777
8,0.45,AdaptiveDBSCAN,153,183,49,79,0.5295,11.53,0.982,0.0157,0.1046,0.1037,0.0912,0.9483,0.2928,0.2777
11,0.3,AdaptiveDBSCAN,135,115,62,42,0.4096,10.0,0.8163,0.0127,0.0667,0.1329,0.1072,0.9692,0.2857,0.2769
8,0.1,AdaptiveDBSCAN,85,20,69,4,0.1043,10.15,0.8527,0.0056,0.0706,0.1861,0.1067,0.993,0.2774,0.2755
11,0.2,AdaptiveDBSCAN,113,68,63,18,0.2792,10.08,0.7191,0.0107,0.0796,0.1465,0.102,0.9839,0.278,0.2735
7,0.45,AdaptiveDBSCAN,152,162,57,67,0.535,11.19,1.016,0.0141,0.0592,0.12,0.093,0.9498,0.2874,0.273
8,0.2,AdaptiveDBSCAN,93,34,64,5,0.191,10.53,0.8695,0.0079,0.0645,0.1681,0.1048,0.9911,0.2746,0.2722
10,0.4,AdaptiveDBSCAN,171,227,49,105,0.5513,10.49,0.9011,0.0156,0.0702,0.123,0.0913,0.9145,0.2963,0.271
9,0.15,AdaptiveDBSCAN,93,43,56,6,0.1613,10.4,0.7414,0.0101,0.1075,0.1512,0.0985,0.9911,0.2728,0.2704
8,0.35,HDBSCAN,179,168,73,62,0.4036,10.55,1.7455,0.0105,0.257,0.0507,0.101,0.8938,0.3015,0.2695
12,0.3,AdaptiveDBSCAN,150,139,59,48,0.3997,9.57,0.7572,0.0124,0.1,0.1132,0.1058,0.9526,0.2829,0.2695
10,0.15,AdaptiveDBSCAN,108,63,60,15,0.2067,9.68,0.8258,0.0109,0.0926,0.1464,0.104,0.9861,0.2725,0.2687
9,0.1,AdaptiveDBSCAN,84,30,59,5,0.106,10.44,0.7245,0.0086,0.0833,0.1743,0.0966,0.9932,0.27,0.2682
11,0.15,AdaptiveDBSCAN,102,54,61,13,0.2149,10.26,0.7547,0.0105,0.0882,0.1468,0.0944,0.9883,0.2683,0.2652
12,0.25,AdaptiveDBSCAN,136,99,63,26,0.3232,9.44,0.7424,0.0108,0.0662,0.1302,0.113,0.9683,0.2718,0.2632
7,0.25,AdaptiveDBSCAN,88,38,55,5,0.2323,11.2,0.9135,0.0099,0.0568,0.1558,0.0962,0.9923,0.2652,0.2632
5,0.15,AdaptiveDBSCAN,85,36,56,7,0.2363,10.71,1.0154,0.0101,0.0706,0.1442,0.1004,0.993,0.2648,0.2629
11,0.25,AdaptiveDBSCAN,122,83,64,25,0.3548,10.05,0.7431,0.0112,0.0492,0.1295,0.1096,0.979,0.2677,0.2621
10,0.2,AdaptiveDBSCAN,116,77,59,20,0.269,9.87,0.8189,0.0115,0.0948,0.1263,0.0982,0.9824,0.2661,0.2614
8,0.15,AdaptiveDBSCAN,87,29,63,5,0.1492,10.63,0.8617,0.0078,0.0805,0.1546,0.1021,0.9925,0.2633,0.2613
9,0.5,AdaptiveDBSCAN,190,273,50,133,0.6363,11.39,1.0488,0.0152,0.0632,0.121,0.0879,0.8581,0.3043,0.2611
6,0.3,AdaptiveDBSCAN,100,59,58,17,0.3065,11.19,0.9372,0.0119,0.06,0.1353,0.0956,0.989,0.263,0.2601
7,0.55,AdaptiveDBSCAN,217,460,51,294,0.6853,11.07,1.1692,0.0196,0.1751,0.1093,0.0977,0.7291,0.3553,0.259
13,0.3,AdaptiveDBSCAN,158,170,56,68,0.4238,9.77,0.7193,0.0137,0.0696,0.1183,0.0994,0.9405,0.2751,0.2587
8,0.5,AdaptiveDBSCAN,186,263,48,125,0.6196,11.6,1.0115,0.0153,0.0645,0.1101,0.0886,0.8721,0.2942,0.2566
12,0.15,AdaptiveDBSCAN,117,59,68,10,0.2006,9.03,0.7029,0.0087,0.0598,0.1373,0.1273,0.9818,0.2603,0.2556
15,0.35,AdaptiveDBSCAN,175,195,54,74,0.4735,9.7,0.7087,0.0128,0.1029,0.0937,0.1074,0.9047,0.2822,0.2553
7,0.2,AdaptiveDBSCAN,81,26,55,0,0.1864,11.46,0.9104,0.008,0.0494,0.1566,0.0985,0.9938,0.2561,0.2545
12,0.35,AdaptiveDBSCAN,172,185,60,73,0.4788,9.48,0.8026,0.0126,0.0581,0.1144,0.1063,0.9121,0.279,0.2545
11,0.1,AdaptiveDBSCAN,95,48,59,12,0.1585,10.09,0.703,0.0108,0.0947,0.1393,0.095,0.9905,0.2565,0.2541
5,0.1,AdaptiveDBSCAN,79,27,55,3,0.1498,10.99,1.0415,0.0088,0.0633,0.1563,0.0976,0.9941,0.2555,0.254
7,0.1,AdaptiveDBSCAN,75,16,59,0,0.0856,10.75,0.8914,0.0058,0.0533,0.1703,0.1059,0.9948,0.2548,0.2535
17,0.15,AdaptiveDBSCAN,120,56,67,3,0.1604,9.25,0.6564,0.0078,0.0917,0.1298,0.1175,0.9802,0.2577,0.2526
17,0.2,AdaptiveDBSCAN,136,107,53,24,0.2446,9.2,0.6687,0.0117,0.1103,0.1073,0.1136,0.9683,0.2608,0.2525
13,0.25,AdaptiveDBSCAN,136,117,56,37,0.3394,9.68,0.7291,0.0127,0.0735,0.1135,0.103,0.9683,0.2608,0.2525
