n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles
5,0.1,AdaptiveDBSCAN,79,27,55,3
5,0.15,AdaptiveDBSCAN,85,36,56,7
5,0.2,AdaptiveDBSCAN,91,55,51,15
5,0.25,AdaptiveDBSCAN,102,73,50,21
5,0.3,AdaptiveDBSCAN,110,92,49,31
5,0.35,AdaptiveDBSCAN,120,99,53,32
5,0.4,AdaptiveDBSCAN,131,113,57,39
5,0.45,AdaptiveDBSCAN,141,139,55,53
5,0.5,AdaptiveDBSCAN,168,188,57,77
5,0.55,AdaptiveDBSCAN,210,329,59,178
5,0.6,AdaptiveDBSCAN,245,458,60,273
5,0.65,AdaptiveDBSCAN,326,838,60,572
5,0.7,AdaptiveDBSCAN,427,1435,60,1068
5,0.75,AdaptiveDBSCAN,507,2083,59,1635
5,0.8,AdaptiveDBSCAN,766,4862,60,4156
5,0.85,AdaptiveDBSCAN,1042,9104,57,8119
6,0.1,AdaptiveDBSCAN,75,14,63,2
6,0.15,AdaptiveDBSCAN,79,26,59,6
6,0.2,AdaptiveDBSCAN,83,35,57,9
6,0.25,AdaptiveDBSCAN,98,51,59,12
6,0.3,AdaptiveDBSCAN,100,59,58,17
6,0.35,AdaptiveDBSCAN,119,90,60,31
6,0.4,AdaptiveDBSCAN,120,110,52,42
6,0.45,AdaptiveDBSCAN,136,154,48,66
6,0.5,AdaptiveDBSCAN,182,222,60,100
6,0.55,AdaptiveDBSCAN,222,399,56,233
6,0.6,AdaptiveDBSCAN,283,617,57,391
6,0.65,AdaptiveDBSCAN,384,1109,62,787
6,0.7,AdaptiveDBSCAN,446,1557,59,1170
6,0.75,AdaptiveDBSCAN,541,2376,58,1893
6,0.8,AdaptiveDBSCAN,840,5719,63,4942
6,0.85,AdaptiveDBSCAN,1201,12403,59,11261
7,0.1,AdaptiveDBSCAN,75,16,59,0
7,0.15,AdaptiveDBSCAN,79,24,55,0
7,0.2,AdaptiveDBSCAN,81,26,55,0
7,0.25,AdaptiveDBSCAN,88,38,55,5
7,0.3,AdaptiveDBSCAN,100,55,54,9
7,0.35,AdaptiveDBSCAN,121,95,51,25
7,0.4,AdaptiveDBSCAN,128,108,52,32
7,0.45,AdaptiveDBSCAN,152,162,57,67
7,0.5,AdaptiveDBSCAN,194,263,56,125
7,0.55,AdaptiveDBSCAN,217,460,51,294
7,0.6,AdaptiveDBSCAN,296,778,50,532
7,0.65,AdaptiveDBSCAN,369,1083,58,772
7,0.7,AdaptiveDBSCAN,471,1779,56,1364
7,0.75,AdaptiveDBSCAN,623,3138,62,2577
7,0.8,AdaptiveDBSCAN,901,6606,61,5766
7,0.85,AdaptiveDBSCAN,1346,15655,61,14370
8,0.1,AdaptiveDBSCAN,85,20,69,4
8,0.15,AdaptiveDBSCAN,87,29,63,5
8,0.2,AdaptiveDBSCAN,93,34,64,5
8,0.25,AdaptiveDBSCAN,97,54,55,12
8,0.3,AdaptiveDBSCAN,98,60,51,13
8,0.35,AdaptiveDBSCAN,116,95,53,32
8,0.4,AdaptiveDBSCAN,128,118,55,45
8,0.45,AdaptiveDBSCAN,153,183,49,79
8,0.5,AdaptiveDBSCAN,186,263,48,125
8,0.55,AdaptiveDBSCAN,239,534,47,342
8,0.6,AdaptiveDBSCAN,288,815,43,570
8,0.65,AdaptiveDBSCAN,397,1235,58,896
8,0.7,AdaptiveDBSCAN,458,1901,50,1493
8,0.75,AdaptiveDBSCAN,669,3807,58,3196
8,0.8,AdaptiveDBSCAN,956,7453,60,6557
8,0.85,AdaptiveDBSCAN,1441,17555,63,16177
9,0.1,AdaptiveDBSCAN,84,30,59,5
9,0.15,AdaptiveDBSCAN,93,43,56,6
9,0.2,AdaptiveDBSCAN,105,78,51,24
9,0.25,AdaptiveDBSCAN,110,87,55,32
9,0.3,AdaptiveDBSCAN,118,98,56,36
9,0.35,AdaptiveDBSCAN,124,125,50,51
9,0.4,AdaptiveDBSCAN,154,193,49,88
9,0.45,AdaptiveDBSCAN,168,216,52,100
9,0.5,AdaptiveDBSCAN,190,273,50,133
9,0.55,AdaptiveDBSCAN,230,446,45,261
9,0.6,AdaptiveDBSCAN,291,735,48,492
