scaler,n_neighbors,min_dist,trustworthiness,continuity,spearman_rho,combined_score
minmax,18,0.0,0.983,0.9858,0.7772,0.9844
robust,18,0.0,0.983,0.9858,0.7772,0.9844
minmax,18,0.1,0.9798,0.9866,0.771,0.9832
robust,18,0.1,0.9798,0.9866,0.771,0.9832
robust,37,0.0,0.9787,0.9845,0.809,0.9816
minmax,37,0.0,0.9787,0.9845,0.809,0.9816
minmax,18,0.3,0.9746,0.9881,0.7662,0.9814
robust,18,0.3,0.9746,0.9881,0.7662,0.9814
robust,37,0.1,0.9764,0.9857,0.8,0.9811
minmax,37,0.1,0.9764,0.9857,0.8,0.9811
robust,74,0.0,0.9753,0.9836,0.785,0.9794
minmax,74,0.0,0.9753,0.9836,0.785,0.9794
minmax,74,0.1,0.9722,0.9846,0.7759,0.9784
robust,74,0.1,0.9722,0.9846,0.7759,0.9784
robust,37,0.3,0.9695,0.987,0.8004,0.9783
minmax,37,0.3,0.9695,0.987,0.8004,0.9783
minmax,74,0.3,0.9661,0.9856,0.7817,0.9759
robust,74,0.3,0.9661,0.9856,0.7817,0.9759
